Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пелех,Амвросій,Арсенійович,Чоловік,1969-05-28,Композитор,село Сколе,"узвіз Лінія 45-та, буд. 1 кв. 3, Старокостянтинів, 87095",+380 26 932-43-71,zhalilohanna@example.org
Черненко,Данило,Арсенійович,Чоловік,1959-09-19,Кінокритик,селище Кам'янець-Подільський,"проспект Анатолія Бачинського, буд. 37 кв. 1, Українськ, 96070",+380 76 402 43 64,oleh32@example.net
Редько,Валентин,Васильович,Чоловік,1989-03-21,Пілот,селище Подільськ,"узвіз Дмитра Годзенка, буд. 2 кв. 07, Дунаївці, 82134",+380 22 656-66-43,snizhana69@example.com
Макаренко,Ігор,Григорович,Чоловік,1955-03-24,Шериф,місто Здолбунів,"набережна Бузковий 2-й, буд. 9, Долинська, 68288",498 39 08,rudykiakiv@example.net
Примаченко,Ігнат,Арсенійович,Чоловік,1988-01-22,Клоун,село Корсунь-Шевченківський,"провулок Всеволода Змієнка, буд. 363, Новоселиця, 59824",952-83-26,dmytro58@example.com
Архимович,Соломон,Степанович,Чоловік,1980-04-07,Композитор,хутір Вишневе,"вулиця Друга, буд. 28 кв. 547, Любомль, 75917",911 16 18,nestor81@example.org
Яковенко,Трохим,Юрійович,Чоловік,2005-12-08,Мінералог,селище Перещепине,"парк Пастера, буд. 30 кв. 20, Алчевськ, 26216",085 892-38-54,dereviankoklyment@example.net
Супруненко,Богодар,Григорович,Чоловік,2008-05-23,Бізнесмен,місто Вільнянськ,"парк Монастирський, буд. 46 кв. 18, Апостолове, 17280",652 50 78,levchenkoivan@example.com
Ісаєнко,Леонтій,Максимович,Чоловік,1999-02-16,Астроном,хутір Джанкой,"вулиця Четверта, буд. 083 кв. 480, Біла Церква, 73253",+380 (79) 787-54-58,hutsuliakmariana@example.net
Слюсар,Ігор,Васильович,Чоловік,1999-11-19,Біолог,селище Лохвиця,"сквер Косий, буд. 535, Курахове, 03958",058 842-07-11,korolenkoartem@example.com
Гузенко,Андрій,Сергійович,Чоловік,1965-02-24,Музикознавець,село Олешки,"шосе Деревообробна, буд. 015, Бердянськ, 17382",040 880 26 18,fhavrylenko@example.net
Піддубний,Соломон,Богданович,Чоловік,1960-04-23,Бібліотекар,хутір Мирноград,"вулиця Святослава Ріхтера, буд. 2, Великі Мости, 35210",+380 48 377-14-87,vandriiovych@example.org
Башполченко,Олесь,Олексійович,Чоловік,2007-02-25,Астрофізик,селище Коростень,"провулок Злакова, буд. 617 кв. 694, Рубіжне, 38348",+380 92 461 39 32,dchornovil@example.com
Дурдинець,Ілля,Іванович,Чоловік,1942-04-15,Менеджер,хутір Золоте,"провулок Пересипська 5-та, буд. 5, Зоринськ, 93770",+380 43 791-68-00,piatachenkomilena@example.org
Ірванець,Мирослав,Миколайович,Чоловік,1995-12-26,Каскадер,хутір Попасна,"вулиця Ольгіївська, буд. 20, Хрестівка, 78589",+380 (08) 812-62-12,ilukash@example.org
Кириленко,Лукʼян,Миколайович,Чоловік,1953-12-23,Хореограф,хутір Городок,"шосе Кобзаря, буд. 8 кв. 92, Молочанськ, 68207",+380 89 189-25-38,datsenkoaaron@example.com
Фастенко,Пантелеймон,Павлович,Чоловік,1989-07-13,Золотар,місто Комарно,"вулиця Пісочний, буд. 5, Новоукраїнка, 03666",093 602-67-51,tereza53@example.net
Щербань,Валентин,Павлович,Чоловік,1990-05-10,Мінералог,хутір Золоте,"сквер Партизанська, буд. 116, Христинівка, 51153",+380 (71) 651-77-75,ievhenieroshenko@example.org
Величко,Віктор,Арсенійович,Чоловік,1981-03-07,Патологоанатом,хутір Хотин,"парк Травневий 4-й, буд. 9, Голубівка, 48139",+380 97 047 12 14,rprytula@example.org
Журавель,Григорій,Дмитрович,Чоловік,1985-06-23,Письменник,хутір Гадяч,"провулок Лінія 32-га, буд. 16 кв. 55, Суходільськ, 44615",241 97 92,alla70@example.net
Засядько,Андрій,Богданович,Чоловік,1964-08-12,Астронавт,місто Святогірськ,"парк Туристський, буд. 53 кв. 685, Валки, 36985",223 79 48,pustovitkhrystyna@example.com
Черненко,Максим,Арсенійович,Чоловік,1983-09-10,Електротехнік,місто Апостолове,"площа Лазурний 1-й, буд. 973 кв. 3, Перещепине, 97065",+380 96 416-23-99,amaliiavertyporokh@example.org
Корж,Аркадій,Володимирович,Чоловік,1947-10-05,Візажист,місто Отаманівка,"набережна Чорноморський 1-й, буд. 3, Вуглегірськ, 30369",001 521-69-72,kostiantynvovk@example.com
Приймак,Варфоломій,Дмитрович,Чоловік,1965-08-28,Секретар,село Слов'янськ,"вулиця 1-й Академічний тупик, буд. 991, Довжанськ, 52824",+380 (26) 144-92-53,iustynaostapchuk@example.org
Лавренко,Андрій,Григорович,Чоловік,1980-05-21,Дантист,село Синельникове,"сквер Лінія 25-та, буд. 197 кв. 5, Тростянець, 05657",+380 95 479-36-37,iukhym76@example.com
Удовиченко,Ілля,Павлович,Чоловік,1977-08-31,Географ,село Вашківці,"сквер Хвойний, буд. 727 кв. 871, Ворожба, 89002",897 38 90,leontiikorsun@example.com
Забіла,Петро,Тимофійович,Чоловік,1961-03-06,Правник,село Кам'янка (Черкаська область),"узвіз Тупиковий, буд. 9 кв. 5, Дніпрорудне, 43875",+380 78 450-81-55,levkomatiash@example.net
Адамчук,Ярема,Васильович,Чоловік,1993-01-02,Парфюмер,селище Белз,"проспект Тополиний, буд. 522 кв. 3, Рені, 10696",+380 42 261 20 62,dereviankovasylyna@example.org
Базавлученко,Аркадій,Романович,Чоловік,1964-05-24,Антрополог,село Ніжин,"вулиця Зелена балка, буд. 216 кв. 419, Чернівці, 61338",+380 76 431-49-28,zmykytiuk@example.org
Якимчук,Гаврило,Павлович,Чоловік,2007-04-28,Громадський діяч,село Іршава,"набережна Квітковий, буд. 5, Козятин, 15418",070 952-67-17,lovsiienko@example.com
Носенко,Гордій,Романович,Чоловік,1962-01-08,Випробувач,хутір Снігурівка,"шосе Обліпихова, буд. 490, Миргород, 25065",+380 54 658-85-89,hennadii35@example.net
Василечко,Пантелеймон,Григорович,Чоловік,1964-05-01,Медик,селище Трускавець,"шосе Немировича-Данченка, буд. 6 кв. 085, Васильків, 61992",+380 (21) 948-28-86,sofiia19@example.org
Тесля,Кирило,Тимофійович,Чоловік,1979-04-20,Промисловець,село Мирноград,"провулок Аеродромна, буд. 79, Малин, 30546",080 037-07-98,ismyk@example.org
Гайдай,Юстим,Сергійович,Чоловік,2001-08-12,Менеджер,місто Українка,"площа Центральний аеропорт, буд. 31 кв. 7, Дніпрорудне, 24519",+380 67 496-23-97,fursmakar@example.net
Щорс,Максим,Дмитрович,Чоловік,1984-04-03,Петрограф,місто Подільськ,"парк Польова, буд. 970, Новодністровськ, 26522",+380 50 831 77 95,esvystun@example.com
Чміль,Святослав,Максимович,Чоловік,2003-05-05,Мірошник,хутір Ходорів,"сквер 2-й Академічний тупик, буд. 83, Яремче, 90906",095 436-45-80,hchalyi@example.net
Перебийніс,Владислав,Максимович,Чоловік,1982-10-12,Науковець,хутір Косів,"вулиця Тарутинська, буд. 1, Здолбунів, 24347",+380 05 469 07 66,oshylo@example.org
Гриценко,Симон,Дмитрович,Чоловік,1992-06-22,Детектив,селище Щолкіне,"сквер Юрія Єгорова, буд. 01 кв. 3, Шостка, 29098",223 57 75,opanas75@example.com
Кириленко,Веніямин,Максимович,Чоловік,1938-12-05,Кінокритик,місто Дніпро,"провулок Олександра Ройтбурда, буд. 965, Чистякове, 49783",+380 04 116 27 65,turkalomyron@example.org
Шухевич,Данило,Григорович,Чоловік,1986-11-05,Палеонтолог,село Зугрес,"набережна Вознесенський, буд. 09 кв. 7, Борислав, 58434",195-76-51,onysymartymovych@example.org
Дашкевич,Опанас,Васильович,Чоловік,1985-07-04,Агроном,хутір Керч,"парк Банний, буд. 50 кв. 6, Узин, 20235",044 565 06 45,irena09@example.org
Юрченко,Мартин,Олексійович,Чоловік,1972-09-21,Живописець,хутір Білгород-Дністровський,"вулиця Проектований 3-й, буд. 51 кв. 905, Жмеринка, 28935",025 423 56 73,usalii@example.net
Карпа,Антон,Павлович,Чоловік,1951-08-02,Стиліст,хутір Мирноград,"узвіз Товарний, буд. 5, Вишневе, 45740",+380 (40) 308-34-80,illianehoda@example.org
Деревʼянко,Гліб,Григорович,Чоловік,1966-11-15,Слідчий,хутір Березне,"узвіз Ананьївська, буд. 566, Кілія, 92304",+380 (38) 448-56-68,zhurbabohdanna@example.com
Щорс,Олесь,Олександрович,Чоловік,1961-09-22,Промисловець,місто Вугледар,"парк Сергія Ейзенштейна, буд. 06 кв. 289, Запоріжжя, 06057",082 019 83 47,boleslav64@example.org
Пилипенко,Семен,Васильович,Чоловік,1999-11-11,Палеонтолог,хутір Нововолинськ,"проспект Різовська, буд. 9 кв. 414, Каховка, 54828",056 849-70-91,olehandroshchuk@example.org
Слюсар,Олесь,Тимофійович,Чоловік,2008-01-22,Клоун,село Сіверськ,"парк Нова, буд. 20 кв. 92, Федорівка, 88729",+380 37 648-84-01,heorhiivakulenko@example.org
Короленко,Вадим,Олександрович,Чоловік,1941-11-29,Літературознавець,село Городня,"провулок Багрицького, буд. 13 кв. 622, Вишневе, 88801",922-82-14,bchervonenko@example.net
Вернигора,Пармен,Романович,Чоловік,1988-04-05,Психолог,село Кілія,"шосе Басейний 4-й, буд. 233 кв. 80, Чугуїв, 12766",+380 50 472-07-28,vitaliibevzenko@example.org
Рябовіл,Святослав,Павлович,Чоловік,1975-06-19,Менеджер,місто Підгайці,"шосе М’ясоєдовська, буд. 556, Гайворон, 77402",+380 36 054-37-54,demyd37@example.org
Даниленко,Станіслав,Максимович,Чоловік,2003-11-24,Медик,селище Токмак,"узвіз Михайла Врубеля, буд. 3, Чернівці, 52117",314-20-35,yudovychenko@example.com
Їжак,Сергій,Андрійович,Чоловік,2007-12-04,Клавішник,село Очаків,"шосе Космонавтів, буд. 056 кв. 349, Рубіжне, 07487",464-02-54,iakymenkoeduard@example.net
Нестайко,Геннадій,Максимович,Чоловік,1987-04-03,Скульптор,місто Прилуки,"набережна Наявний 6-й, буд. 08 кв. 89, Лиман, 34903",057 846 91 16,chumakodarka@example.net
Симоненко,Валентин,Олексійович,Чоловік,1948-08-17,Бізнесмен,місто Енергодар,"узвіз Бітумна, буд. 3 кв. 913, Бердичів, 63006",091 863 96 69,borys86@example.net
Дутка,Григорій,Сергійович,Чоловік,1970-10-08,Архітектор,хутір Світлодарськ,"парк Степана Олійника узвіз, буд. 64, Антрацит, 79639",+380 56 515-82-89,panteleimonpalii@example.org
Худобʼяк,Юхим,Іванович,Чоловік,2002-09-22,Агроном,селище Переяслав,"проспект Пироговський, буд. 80, Виноградів, 10641",083 120 07 97,zabaravenedykt@example.net
Байда,Соломон,Богданович,Чоловік,1967-12-22,Геолог,місто Бобринець,"проспект Станційна 3-тя, буд. 407 кв. 17, Перемишляни, 43902",+380 48 485-63-35,larysa97@example.net
Яковенко,Мирослав,Романович,Чоловік,1950-09-30,Історик,місто Корюківка,"провулок Виноградна 1-ша, буд. 51, Сновськ, 90505",099 945 84 03,makarskoryk@example.net
Приймак,Максим,Богданович,Чоловік,1983-02-02,Будник,місто Харків,"узвіз Наявний 2-й, буд. 0 кв. 75, Христинівка, 12184",092 934 13 84,liudmyla35@example.org
Тимченко,Віталій,Степанович,Чоловік,1998-03-03,Краєзнавець,хутір Ялта,"набережна Восьмого березня 6-й, буд. 133, Кременчук, 15257",+380 65 627-90-64,romanandreiko@example.org
Шеремета,Борислав,Петрович,Чоловік,1984-10-22,Патологоанатом,місто Сніжне,"площа Хімічна, буд. 8, Хутір-Михайлівський, 40631",898 03 23,orkhypartymyshyn@example.net
Охріменко,Миколай,Іванович,Чоловік,1972-12-05,Флорист,селище Вараш,"набережна Дача Ковалевського, буд. 707 кв. 21, Новодністровськ, 99637",064 431 73 37,iaroslav00@example.org
Пушкар,Артем,Тимофійович,Чоловік,1973-05-08,Краєзнавець,селище Умань,"вулиця Офіцерський 2-й, буд. 725 кв. 953, Винники, 60805",263-97-58,zorian17@example.net
Матвієнко,Арсен,Олександрович,Чоловік,1953-10-26,Кіноактор,хутір Українськ,"провулок Церковна, буд. 226, Гребінка, 94847",655-34-30,savenkoklyment@example.org
Саченко,Ярема,Павлович,Чоловік,1989-09-09,Мистецтвознавець,село Тячів,"набережна Конструкторський, буд. 6, Кролевець, 46032",077 57 24,pylypkhrystenko@example.com
Верменич,Феофан,Миколайович,Чоловік,1958-05-19,Модельєр,хутір Амвросіївка,"парк Шевченка парк, буд. 4, Херсон, 83888",046-87-35,oleh51@example.org
Худобʼяк,Олег,Петрович,Чоловік,1939-02-11,Слідчий,місто Богуслав,"узвіз Віри Інбер, буд. 5, Пустомити, 81660",659 72 43,boryslav56@example.net
Алексійчук,Михайло,Петрович,Чоловік,2008-09-10,Стропальник,село Нова Каховка,"вулиця Сливова, буд. 753 кв. 2, Гола Пристань, 84065",+380 70 106-10-29,ufranchuk@example.org
Величко,Теодор,Романович,Чоловік,1949-05-20,Підприємець,селище Пирятин,"вулиця Черкаська, буд. 382, Самбір, 50314",+380 (38) 834-86-61,huziibohdanna@example.org
Абрагамовський,Азар,Володимирович,Чоловік,1976-07-10,Електромонтер,місто Сватове,"сквер Івахненка Петра, буд. 2, Добропілля, 37115",257 20 59,umykhailiuk@example.com
Вергун,Гордій,Андрійович,Чоловік,1968-04-10,Намотувальник,місто Вилкове,"сквер Проїзний 1-й, буд. 411 кв. 350, Хотин, 96052",084 378 35 71,virababych@example.org
Гаврилів,Опанас,Романович,Чоловік,1957-01-27,Промисловець,місто Бучач,"набережна Пересипська 9-та, буд. 67, Пологи, 17054",+380 23 497-48-90,cdashenko@example.org
Олійник,Михайло,Володимирович,Чоловік,1979-02-18,Намотувальник,селище Привілля,"шосе Хлібна гавань, буд. 5 кв. 22, Канів, 19887",081 521-78-31,viraievdokymenko@example.com
Чайка,Семен,Євгенович,Чоловік,2003-09-10,Композитор,селище Таврійськ,"провулок Хвойний, буд. 888 кв. 48, Вишгород, 56706",024 584 44 28,anastasiiaderevianko@example.org
Сірко,Веніямин,Арсенійович,Чоловік,1955-08-20,Бібліотекар,село Лиман,"парк Гвоздична, буд. 36 кв. 49, Новоазовськ, 56274",+380 51 570 67 12,nadiiaakulenko@example.com
Давиденко,Валерій,Миколайович,Чоловік,1980-07-31,Дизайнер,селище Баштанка,"проспект Хвойний, буд. 752, Броди, 37016",156-24-53,dutkaliliia@example.com
Вергун,Сергій,Романович,Чоловік,1985-04-15,Каскадер,селище Нове Давидково,"узвіз Юзефа Крашевського, буд. 1 кв. 770, Хуст, 52709",315 11 33,shchorsoleh@example.com
Хмара,Кирило,Андрійович,Чоловік,1947-12-05,Графік,хутір Брянка,"сквер Осіння, буд. 8 кв. 5, Камінь-Каширський, 99697",+380 59 064-90-10,rkarmaliuk@example.net
Михайличенко,Владислав,Арсенійович,Чоловік,1967-07-31,Футболіст,хутір Яремче,"шосе Мусіна, буд. 1 кв. 4, Рогатин, 20113",+380 31 974-35-35,valentynskorobohatko@example.org
Вергун,Онисим,Романович,Чоловік,2000-08-21,Адвокат,місто Лутугине,"парк Дачний 2-й, буд. 32 кв. 473, Городище, 90331",+380 82 300 23 86,violetta42@example.net
Христенко,Тарас,Володимирович,Чоловік,1998-03-30,Правник,хутір Дебальцеве,"набережна Ігоря Ветрогонова, буд. 9 кв. 61, Сокологірськ, 87809",+380 24 125-09-34,hryhoriiisaienko@example.org
Вишняк,Адам,Миколайович,Чоловік,2007-02-26,Правник,хутір Рава-Руська,"проспект Варненська, буд. 76 кв. 3, Синельникове, 68461",+380 08 493-16-55,fursvioletta@example.com
Баранник,Стефан,Васильович,Чоловік,1941-08-26,Юрист,селище Шахтарськ,"набережна Петра Біциллі, буд. 271, Буча, 69654",558 13 05,lorlyk@example.net
Михалюк,Орест,Олексійович,Чоловік,1979-03-18,Гірник,хутір Пустомити,"площа Парковий, буд. 948 кв. 651, Бориспіль, 43716",011 619-57-15,albertishchenko@example.net
Дубина,Єфрем,Тимофійович,Чоловік,1992-06-25,Дипломат,селище Іловайськ,"сквер Яблучна, буд. 09, Шпола, 99317",+380 58 537-27-11,larysafareniuk@example.org
Ящук,Онисим,Тимофійович,Чоловік,1997-08-20,Музикант,хутір Луганськ,"парк Професора Каришковського, буд. 00, Мала Виска, 82987",+380 (42) 325-34-68,les11@example.net
Бабко,Леонід,Олександрович,Чоловік,1960-10-22,Флорист,хутір Соснівка,"набережна Грузинська, буд. 5 кв. 76, Болград, 88103",349 41 08,epryimak@example.net
Ватаманюк,Михайло,Сергійович,Чоловік,1957-11-12,Бібліограф,місто Ладижин,"провулок Середньофонтанський, буд. 2 кв. 028, Родинське, 73435",+380 14 590-13-45,iaroslava36@example.org
Притула,Дан,Сергійович,Чоловік,1966-11-17,Кур'єр,місто Городенка,"проспект Західний 3-й, буд. 7, Малин, 27897",170-43-76,esuprunenko@example.org
Джус,Данило,Сергійович,Чоловік,1986-09-11,Шериф,селище Тальне,"площа Кордонний, буд. 5 кв. 10, Дубляни, 28381",+380 (99) 935-94-48,albina96@example.org
Носенко,Данило,Васильович,Чоловік,2002-10-17,Сантехнік,місто Миколаїв,"площа Матроський, буд. 44, Костопіль, 19438",062 539 21 90,ishablii@example.net
Атаманчук,Віктор,Олександрович,Чоловік,1964-06-26,Електромонтер,місто Жовті Води,"вулиця Лінія 48-ма, буд. 3, Багачеве, 73214",006-16-45,makaroberemko@example.net
Гузенко,Захар,Олександрович,Чоловік,1949-01-15,Кінорежисер,місто Бердичів,"узвіз Пілотна, буд. 67 кв. 4, Тараща, 90307",+380 10 052-15-04,tereza10@example.com
Асаула,Августин,Миколайович,Чоловік,2007-12-12,Музикант,селище Новоукраїнка,"площа Гетьмана Сагайдачного, буд. 314 кв. 70, Конотоп, 27113",066 93 55,fzakusylo@example.net
Наливайко,Макар,Петрович,Чоловік,1967-07-10,Громадський діяч,хутір Новий Буг,"шосе Лузанівка, буд. 671 кв. 139, Звенигородка, 01274",+380 36 663-20-77,karasada@example.org
Медведенко,Антон,Тимофійович,Чоловік,1958-08-17,Секретар,селище Хрестівка,"набережна Йоганна Ансельма, буд. 342, Полонне, 83731",018 334 30 03,rostyslav65@example.net
Шамрай,Миколай,Олексійович,Чоловік,1957-08-21,Ріелтор,село Чуднів,"набережна Костанді, буд. 935, Оріхів, 06938",+380 (84) 998-03-53,rostyslavdanyliuk@example.org
Закусило,Аркадій,Тимофійович,Чоловік,1992-04-11,Конструктор,селище Амвросіївка,"шосе Абрикосова, буд. 9, Кривий Ріг, 94060",071 447-85-25,olha02@example.net
Петлюра,Кирило,Тимофійович,Чоловік,2008-03-19,Астроном,місто Звенигородка,"провулок Відважних, буд. 4 кв. 02, Сіверськ, 18153",+380 57 806-16-67,hordiibashpolchenko@example.net
Гузь,Вʼячеслав,Олексійович,Чоловік,1970-09-20,Стропальник,село Кіцмань,"узвіз Чехівського, буд. 20, Деражня, 92487",081 146 44 59,klymentshvachko@example.net
Рябець,Опанас,Миколайович,Чоловік,2006-02-15,Парфюмер,місто Ялта,"площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 60, Миронівка, 31310",+380 54 435 38 87,bashtandanna@example.com
Дурдинець,Віктор,Юрійович,Чоловік,2004-10-08,Режисер,хутір Чорноморськ,"узвіз Тінистий, буд. 911 кв. 29, Сколе, 73792",016 580 65 37,sychlukian@example.net
Андрощук,Ростислав,Богданович,Чоловік,1990-12-13,Скульптор,хутір Новоселиця,"провулок Литовська, буд. 25 кв. 94, Синельникове, 68774",+380 42 191-89-61,fedirartiukh@example.org
Вергун,Варфоломій,Володимирович,Чоловік,1954-03-28,Вчитель,хутір Новоазовськ,"парк Іони Отаманського, буд. 6, Косів, 12361",+380 82 339-56-03,xdrozd@example.net
Демʼянчук,Феофан,Сергійович,Чоловік,1966-09-07,Астроном,селище Берестин,"узвіз Водопровідна, буд. 290 кв. 3, Новоазовськ, 85367",+380 58 118-62-76,andriimakohon@example.com
Романенко,Ігор,Дмитрович,Чоловік,1938-11-17,Епідеміолог,місто Харків,"набережна Прокатна, буд. 892 кв. 2, Тетіїв, 14534",+380 01 972-45-73,opanas84@example.com
Яценюк,Петро,Степанович,Чоловік,1949-07-08,Кінорежисер,село Харків,"провулок Магістральна, буд. 4 кв. 6, Бурштин, 81000",511-54-94,amvrosii38@example.org
Джунь,Венедикт,Богданович,Чоловік,1942-11-29,Прокурор,хутір Добромиль,"набережна Грушева, буд. 2 кв. 87, Шумськ, 34847",090 969-01-85,ievtushokvenedykt@example.net
Козаченко,Вадим,Дмитрович,Чоловік,1945-05-17,Футболіст,село Севастополь,"шосе Селекційний, буд. 942 кв. 850, Борзна, 04677",870 36 23,artem06@example.org
Примаченко,Леон,Васильович,Чоловік,1956-09-30,Клавішник,хутір Селидове,"провулок Миколи Плигуна, буд. 8 кв. 63, Берегове, 35812",+380 58 919-09-29,valerii39@example.org
Романчук,Максим,Григорович,Чоловік,1975-09-07,Фізик,село Вуглегірськ,"вулиця Клинова, буд. 461 кв. 9, Вилкове, 81491",070 256-98-88,panteleimonvovk@example.com
Доценко,Орест,Андрійович,Чоловік,1979-01-15,Графік,село Щолкіне,"набережна Мала, буд. 656, Армянськ, 07294",043 441 79 45,khomaokhrimenko@example.org
Захарченко,Марко,Юрійович,Чоловік,1979-06-06,Кухар,село Алчевськ,"узвіз Лиманчик 2-й Лінія 1-ша, буд. 4, Луцьк, 05911",089 433 69 74,svivcharenko@example.com
Смик,Аркадій,Юрійович,Чоловік,1985-07-05,Лікар,селище Іршава,"парк Цебриківська, буд. 7 кв. 0, Ізяслав, 47875",+380 04 583-67-16,valentyna86@example.net
Єфименко,Володимир,Олександрович,Чоловік,2004-08-03,Фізик,місто Рені,"узвіз Лінія 32-га, буд. 714 кв. 10, Камінь-Каширський, 38113",710 98 78,orysia22@example.com
